"","X","yearID","lgID","teamID","franchID","Rank","G","R","AB","H","HR"
"1363",1363,1961,"AL","CHA","CHW",4,163,765,5556,1475,138
"1364",1364,1961,"AL","CLE","CLE",5,161,737,5609,1493,150
"1365",1365,1961,"AL","BOS","BOS",6,163,729,5508,1401,112
"1366",1366,1961,"AL","MIN","MIN",7,161,707,5417,1353,167
"1367",1367,1961,"AL","LAA","ANA",8,162,744,5424,1331,189
"1368",1368,1961,"AL","KC1","OAK",9,162,683,5423,1342,90
"1369",1369,1961,"AL","WS2","TEX",9,161,618,5366,1307,119
"1370",1370,1961,"NL","CIN","CIN",1,154,710,5243,1414,158
"1371",1371,1961,"NL","LAN","LAD",2,154,735,5189,1358,157
"1372",1372,1961,"NL","SFN","SFG",3,155,773,5233,1379,183
"1373",1373,1961,"NL","ML1","ATL",4,155,712,5288,1365,188
"1374",1374,1961,"NL","SLN","STL",5,155,703,5307,1436,103
"1375",1375,1961,"NL","PIT","PIT",6,154,694,5311,1448,128
"1376",1376,1961,"NL","CHN","CHC",7,156,689,5344,1364,176
"1377",1377,1961,"NL","PHI","PHI",8,155,584,5213,1265,103
"1378",1378,1962,"AL","NYA","NYY",1,162,817,5644,1509,199
"1379",1379,1962,"AL","MIN","MIN",2,163,798,5561,1445,185
"1380",1380,1962,"AL","LAA","ANA",3,162,718,5499,1377,137
"1381",1381,1962,"AL","DET","DET",4,161,758,5456,1352,209
"1382",1382,1962,"AL","CHA","CHW",5,162,707,5514,1415,92
"1383",1383,1962,"AL","CLE","CLE",6,162,682,5484,1341,180
"1384",1384,1962,"AL","BAL","BAL",7,162,652,5491,1363,156
"1385",1385,1962,"AL","BOS","BOS",8,160,707,5530,1429,146
"1386",1386,1962,"AL","KC1","OAK",9,162,745,5576,1467,116
"1387",1387,1962,"AL","WS2","TEX",10,162,599,5484,1370,132
"1388",1388,1962,"NL","SFN","SFG",1,165,878,5588,1552,204
"1389",1389,1962,"NL","LAN","LAD",2,165,842,5628,1510,140
"1390",1390,1962,"NL","CIN","CIN",3,162,802,5645,1523,167
"1391",1391,1962,"NL","PIT","PIT",4,161,706,5483,1468,108
"1392",1392,1962,"NL","ML1","ATL",5,162,730,5458,1376,181
"1393",1393,1962,"NL","SLN","STL",6,163,774,5643,1528,137
"1394",1394,1962,"NL","PHI","PHI",7,161,705,5420,1410,142
"1395",1395,1962,"NL","HOU","HOU",8,162,592,5558,1370,105
"1396",1396,1962,"NL","CHN","CHC",9,162,632,5534,1398,126
"1397",1397,1962,"NL","NYN","NYM",10,161,617,5492,1318,139
"1398",1398,1963,"AL","NYA","NYY",1,161,714,5506,1387,188
"1399",1399,1963,"AL","CHA","CHW",2,162,683,5508,1379,114
"1400",1400,1963,"AL","MIN","MIN",3,161,767,5531,1408,225
"1401",1401,1963,"AL","BAL","BAL",4,162,644,5448,1359,146
"1402",1402,1963,"AL","CLE","CLE",5,162,635,5496,1314,169
"1403",1403,1963,"AL","DET","DET",5,162,700,5500,1388,148
"1404",1404,1963,"AL","BOS","BOS",7,161,666,5575,1403,171
"1405",1405,1963,"AL","KC1","OAK",8,162,615,5495,1356,95
"1406",1406,1963,"AL","LAA","ANA",9,161,597,5506,1378,95
"1407",1407,1963,"AL","WS2","TEX",10,162,578,5446,1237,138
"1408",1408,1963,"NL","LAN","LAD",1,163,640,5428,1361,110
"1409",1409,1963,"NL","SLN","STL",2,162,747,5678,1540,128
"1410",1410,1963,"NL","SFN","SFG",3,162,725,5579,1442,197
"1411",1411,1963,"NL","PHI","PHI",4,162,642,5524,1390,126
"1412",1412,1963,"NL","CIN","CIN",5,162,648,5416,1333,122
"1413",1413,1963,"NL","ML1","ATL",6,163,677,5518,1345,139
"1414",1414,1963,"NL","CHN","CHC",7,162,570,5404,1286,127
"1415",1415,1963,"NL","PIT","PIT",8,162,567,5536,1385,108
"1416",1416,1963,"NL","HOU","HOU",9,162,464,5384,1184,62
"1417",1417,1963,"NL","NYN","NYM",10,162,501,5336,1168,96
"1418",1418,1964,"AL","NYA","NYY",1,164,730,5705,1442,162
"1419",1419,1964,"AL","CHA","CHW",2,162,642,5491,1356,106
"1420",1420,1964,"AL","BAL","BAL",3,163,679,5463,1357,162
"1421",1421,1964,"AL","DET","DET",4,163,699,5513,1394,157
"1422",1422,1964,"AL","LAA","ANA",5,162,544,5362,1297,102
"1423",1423,1964,"AL","CLE","CLE",6,164,689,5603,1386,164
"1424",1424,1964,"AL","MIN","MIN",6,163,737,5610,1413,221
"1425",1425,1964,"AL","BOS","BOS",8,162,688,5513,1425,186
"1426",1426,1964,"AL","WS2","TEX",9,162,578,5396,1246,125
"1427",1427,1964,"AL","KC1","OAK",10,163,621,5524,1321,166
"1428",1428,1964,"NL","SLN","STL",1,162,715,5625,1531,109
"1429",1429,1964,"NL","CIN","CIN",2,163,660,5561,1383,130
"1430",1430,1964,"NL","PHI","PHI",2,162,693,5493,1415,130
"1431",1431,1964,"NL","SFN","SFG",4,162,656,5535,1360,165
"1432",1432,1964,"NL","ML1","ATL",5,162,803,5591,1522,159
"1433",1433,1964,"NL","LAN","LAD",6,164,614,5499,1375,79
"1434",1434,1964,"NL","PIT","PIT",6,162,663,5566,1469,121
"1435",1435,1964,"NL","CHN","CHC",8,162,649,5545,1391,145
"1436",1436,1964,"NL","HOU","HOU",9,162,495,5303,1214,70
"1437",1437,1964,"NL","NYN","NYM",10,163,569,5566,1372,103
"1438",1438,1965,"AL","MIN","MIN",1,162,774,5488,1396,150
"1439",1439,1965,"AL","CHA","CHW",2,162,647,5509,1354,125
"1440",1440,1965,"AL","BAL","BAL",3,162,641,5450,1299,125
"1441",1441,1965,"AL","DET","DET",4,162,680,5368,1278,162
"1442",1442,1965,"AL","CLE","CLE",5,162,663,5469,1367,156
"1443",1443,1965,"AL","NYA","NYY",6,162,611,5470,1286,149
"1444",1444,1965,"AL","CAL","ANA",7,162,527,5354,1279,92
"1445",1445,1965,"AL","WS2","TEX",8,162,591,5374,1227,136
"1446",1446,1965,"AL","BOS","BOS",9,162,669,5487,1378,165
"1447",1447,1965,"AL","KC1","OAK",10,162,585,5393,1294,110
"1448",1448,1965,"NL","LAN","LAD",1,162,608,5425,1329,78
"1449",1449,1965,"NL","SFN","SFG",2,163,682,5495,1384,159
"1450",1450,1965,"NL","PIT","PIT",3,163,675,5686,1506,111
"1451",1451,1965,"NL","CIN","CIN",4,162,825,5658,1544,183
"1452",1452,1965,"NL","ML1","ATL",5,162,708,5542,1419,196
"1453",1453,1965,"NL","PHI","PHI",6,162,654,5528,1380,144
"1454",1454,1965,"NL","SLN","STL",7,162,707,5579,1415,109
"1455",1455,1965,"NL","CHN","CHC",8,164,635,5540,1316,134
"1456",1456,1965,"NL","HOU","HOU",9,162,569,5483,1299,97
"1457",1457,1965,"NL","NYN","NYM",10,164,495,5441,1202,107
"1458",1458,1966,"AL","BAL","BAL",1,160,755,5529,1426,175
"1459",1459,1966,"AL","MIN","MIN",2,162,663,5390,1341,144
"1460",1460,1966,"AL","DET","DET",3,162,719,5507,1383,179
"1461",1461,1966,"AL","CHA","CHW",4,163,574,5348,1235,87
"1462",1462,1966,"AL","CLE","CLE",5,162,574,5474,1300,155
"1463",1463,1966,"AL","CAL","ANA",6,162,604,5360,1244,122
"1464",1464,1966,"AL","KC1","OAK",7,160,564,5328,1259,70
